,Latitud,Ano,Mes,Dia,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,Topoforma,Topoforma_cod
10835,26.366442214734995,2019.0,3.0,2.0,-106.46949044968551,25.03100480347425,4.781765395940779,25.03100480347425,4.781765395940779,12.913662080275037,12.913662080275037,Meseta,6
10836,26.213988172373647,2019.0,3.0,2.0,-111.89756665286208,30.023554848970612,15.591024875422095,30.023554848970612,15.591024875422095,21.74712719543631,21.74712719543631,Meseta,6
10837,19.052674795932628,2019.0,3.0,2.0,-102.06363628360508,34.64830148885911,17.349302389764162,34.64830148885911,17.349302389764162,24.614145701752168,24.614145701752168,Meseta,6
10838,27.848083679933346,2019.0,3.0,2.0,-107.7434336988388,19.88297394282774,4.540229347831883,19.88297394282774,4.540229347831883,10.870425472315258,10.870425472315258,Meseta,6
10839,22.873112610017095,2019.0,3.0,2.0,-103.89278152504274,29.145730562887636,8.597414246307771,29.145730562887636,8.597414246307771,17.103566245596888,17.103566245596888,Meseta,6
10840,23.08673684123425,2019.0,3.0,2.0,-98.79314661738127,33.591633698351686,18.586972377540473,33.591633698351686,18.586972377540473,25.04998239551479,25.04998239551479,Meseta,6
10841,27.055315303116497,2019.0,3.0,2.0,-107.15866151517614,22.668665482776664,5.847848210057669,22.668665482776664,5.847848210057669,12.55430275092201,12.55430275092201,Meseta,6
10842,20.20570163348362,2019.0,3.0,2.0,-104.0635413795236,32.2063358397237,12.062093388078841,32.2063358397237,12.062093388078841,20.985808169464153,20.985808169464153,Meseta,6
10843,21.350212192036643,2019.0,3.0,2.0,-101.60657707447342,28.535007507467387,10.229090723562047,28.535007507467387,10.229090723562047,19.03721876295882,19.03721876295882,Meseta,6
10844,26.82225810205351,2019.0,3.0,2.0,-112.8007762225809,28.828621145486917,14.082255796169111,28.828621145486917,14.082255796169111,20.37322980014002,20.37322980014002,Meseta,6
10845,23.47263100952314,2019.0,3.0,2.0,-109.68374272169316,28.508272576725645,19.23926184396345,28.508272576725645,19.23926184396345,23.186110995555286,23.186110995555286,Meseta,6
10846,25.312521660481558,2019.0,3.0,2.0,-105.999134143492,27.37764087516223,7.283512613106096,27.37764087516223,7.283512613106096,15.438948890447591,15.438948890447591,Meseta,6
10847,25.479875459440972,2019.0,3.0,2.0,-105.97600166054079,27.33111571462974,6.59638515399722,27.33111571462974,6.59638515399722,14.920452567001178,14.920452567001178,Meseta,6
10848,26.80638914207366,2019.0,3.0,2.0,-112.79526578854735,28.783839927249172,14.13338005973658,28.783839927249172,14.13338005973658,20.400061971572477,20.400061971572477,Meseta,6
10849,26.282668015550865,2019.0,3.0,2.0,-106.72833501943857,23.58240585823589,5.887423790431854,23.58240585823589,5.887423790431854,12.947700242900051,12.947700242900051,Meseta,6
10850,22.451152305439702,2019.0,3.0,2.0,-104.2249167898853,31.594050993320263,8.615756989048982,31.594050993320263,8.615756989048982,18.76393495892637,18.76393495892637,Meseta,6
10851,21.130435799178553,2019.0,3.0,2.0,-101.71487764572225,28.942150340330315,10.03798496344492,28.942150340330315,10.03798496344492,19.36474793069561,19.36474793069561,Meseta,6
10852,24.11987734989992,2019.0,3.0,2.0,-104.84767309597767,29.646730882350234,6.729871694707233,29.646730882350234,6.729871694707233,16.380016649214888,16.380016649214888,Meseta,6
10853,25.87780958322874,2019.0,3.0,2.0,-111.62928174423506,31.974020683096274,14.971395531096013,31.974020683096274,14.971395531096013,22.17186777093494,22.17186777093494,Meseta,6
10854,18.61828177956467,2019.0,3.0,2.0,-99.28898622847635,33.162931447992854,15.10389643534015,33.162931447992854,15.10389643534015,23.306364732992442,23.306364732992442,Meseta,6
10855,22.22721596791389,2019.0,3.0,2.0,-97.98789986598375,30.41846432123946,19.794159869843334,30.41846432123946,19.794159869843334,24.023443025280805,24.023443025280805,Meseta,6
10856,21.090545235418208,2019.0,3.0,2.0,-101.84012183298174,28.994113682493456,9.981793515347965,28.994113682493456,9.981793515347965,19.412662421981643,19.412662421981643,Meseta,6
10857,28.606108099093287,2019.0,3.0,2.0,-113.9865513387306,24.562493655315073,13.644179256829768,24.562493655315073,13.644179256829768,17.3263614308076,17.3263614308076,Meseta,6
10858,22.193465266251927,2019.0,3.0,2.0,-102.9670600841847,28.947615328898323,9.1196335826551,28.947615328898323,9.1196335826551,17.878088043012387,17.878088043012387,Meseta,6
10859,20.653450032968312,2019.0,3.0,2.0,-98.81943211695346,29.71405774866252,12.760099429937165,29.71405774866252,12.760099429937165,19.789613253547003,19.789613253547003,Meseta,6
10860,28.26442129102764,2019.0,3.0,2.0,-108.2160794811076,19.073154208956378,5.192332251257891,19.192345824442356,5.192332251257891,11.686426148579706,10.771095936973317,Meseta,6
10861,26.31483886631972,2019.0,3.0,2.0,-112.16531184884263,30.23367693383514,15.540612569840452,30.23367693383514,15.540612569840452,21.84876020844037,21.84876020844037,Meseta,6
10862,21.118133361814102,2019.0,3.0,2.0,-102.44406668090706,29.393385837963585,8.605803071995334,29.393385837963585,8.605803071995334,18.602790107276196,18.602790107276196,Meseta,6
10863,20.21857079470907,2019.0,3.0,2.0,-104.09410563743404,32.307196282183,12.070271740037613,32.307196282183,12.070271740037613,21.03126204691244,21.03126204691244,Meseta,6
10864,27.4712316277167,2019.0,3.0,2.0,-107.12511178232266,22.425461737220708,5.729134046330799,22.425461737220708,5.729134046330799,12.425413650702781,12.425413650702781,Meseta,6
10865,25.055573578163905,2019.0,3.0,2.0,-105.94805267547451,27.44131620436445,7.2496279028776485,27.44131620436445,7.2496279028776485,15.443351462479749,15.443351462479749,Meseta,6
10866,23.90831332841432,2019.0,3.0,2.0,-104.78594370807616,29.203389896743452,6.515122579997417,29.203389896743452,6.515122579997417,15.720463529802883,15.720463529802883,Meseta,6
10867,27.178797674408294,2019.0,3.0,2.0,-107.12241802325511,22.516563156411515,5.604627123257247,22.516563156411515,5.604627123257247,12.35788064070664,12.35788064070664,Meseta,6
10868,32.3221513342659,2019.0,3.0,2.0,-116.7549093924441,16.417378015121976,10.669562782443226,16.417378015121976,10.669562782443226,13.136116188143193,13.136116188143193,Meseta,6
10869,20.729889450180874,2019.0,3.0,2.0,-101.0668509163652,30.273206348188356,10.859464943745,30.273206348188356,10.859464943745,19.895134778283943,19.895134778283943,Meseta,6
10870,26.147753595290673,2019.0,3.0,2.0,-106.74913962178063,24.323248637755736,6.4092270750474265,24.323248637755736,6.4092270750474265,13.523679427680406,13.523679427680406,Meseta,6
10871,18.681583874169043,2019.0,3.0,2.0,-99.47624694204653,33.029927391067574,15.123196654744634,33.029927391067574,15.123196654744634,23.20527179838184,23.20527179838184,Meseta,6
10872,21.046687719385766,2019.0,3.0,2.0,-100.44852207865141,30.68584735206171,11.762644745736361,30.68584735206171,11.762644745736361,19.93040538892044,19.93040538892044,Meseta,6
10873,28.273526170484796,2019.0,3.0,2.0,-108.21779384754039,19.17537704389846,5.133566115581287,19.17537704389846,5.133566115581287,11.660501720503436,11.660501720503436,Meseta,6
10874,21.808337693125246,2019.0,3.0,2.0,-103.5735244672355,31.381156045516622,9.601285202463114,31.381156045516622,9.601285202463114,19.14531755712785,19.14531755712785,Meseta,6
10875,22.787123045309414,2019.0,3.0,2.0,-103.9155225953514,29.459310953195864,8.900226361190036,29.459310953195864,8.900226361190036,17.56097106452109,17.56097106452109,Meseta,6
10876,20.666673381091993,2019.0,3.0,2.0,-101.08336690545997,30.491713952810937,11.06576160691599,30.491713952810937,11.06576160691599,20.09100328037561,20.09100328037561,Meseta,6
10877,22.646304305630288,2019.0,3.0,2.0,-103.37711961796214,28.727033124948896,9.150909564384389,28.727033124948896,9.150909564384389,17.426619376076907,17.426619376076907,Meseta,6
10878,28.219506866979305,2019.0,3.0,2.0,-108.13682376254528,19.26018949647513,4.897475772320687,19.26018949647513,4.897475772320687,11.467335554734436,11.467335554734436,Meseta,6
10879,23.447380541564414,2019.0,3.0,2.0,-98.74120727182348,33.8563898453922,18.708055570595615,33.8563898453922,18.708055570595615,25.148875680326718,25.148875680326718,Meseta,6
10880,21.19363627794244,2019.0,3.0,2.0,-101.75672706706185,28.795295681120194,10.138258751602613,28.795295681120194,10.138258751602613,19.388170772152016,19.388170772152016,Meseta,6
10881,22.20105006245205,2019.0,3.0,2.0,-103.27125706533896,29.47824529697513,9.330108202724842,29.47824529697513,9.330108202724842,18.11474698009311,18.11474698009311,Meseta,6
10882,19.850515670354962,2019.0,3.0,2.0,-98.61462733737672,29.869998704735732,12.692190137496889,29.869998704735732,12.692190137496889,20.07563546481092,20.07563546481092,Meseta,6
10883,20.64069701562784,2019.0,3.0,2.0,-101.64521760308922,30.46736320035577,10.96001201634901,30.46736320035577,10.96001201634901,20.07613055393327,20.07613055393327,Meseta,6
10884,26.87894575367626,2019.0,3.0,2.0,-107.10827021533606,22.98097396208546,5.678176504221171,22.98097396208546,5.678176504221171,12.631208273027928,12.631208273027928,Meseta,6
10885,21.36972669418419,2019.0,3.0,2.0,-103.05838244108847,31.031617743749262,9.724676453571272,31.031617743749262,9.724676453571272,19.4795715497542,19.4795715497542,Meseta,6
10886,19.466820317314653,2019.0,3.0,2.0,-97.94728126925861,26.403369404181444,10.015584349390247,26.403369404181444,10.015584349390247,16.832338606652854,16.832338606652854,Meseta,6
10887,31.97648247928294,2019.0,3.0,2.0,-116.75356494913424,16.465638500184728,12.118571152154631,16.465638500184728,12.118571152154631,14.230041929052668,14.230041929052668,Meseta,6
10888,20.267921366364092,2019.0,3.0,2.0,-104.24289887207262,32.77976510314968,12.147450943004781,32.77976510314968,12.147450943004781,21.26945022671691,21.26945022671691,Meseta,6
10889,21.4354415117345,2019.0,3.0,2.0,-101.5705913617121,28.396102656208704,10.278919571827178,28.396102656208704,10.278919571827178,18.888107227170096,18.888107227170096,Meseta,6
10890,20.540606011418006,2019.0,3.0,2.0,-102.40478732788166,31.123587067186058,10.864758536742974,31.123587067186058,10.864758536742974,20.370952225096204,20.370952225096204,Meseta,6
